PropertyID,City,PropertyType,Bedrooms,FullBathrooms,HalfBathrooms,GarageCars,BasementArea,FirstFloorArea,SecondFloorArea,LotArea,YearBuilt,Condition,DistanceFromCityCenter,HasPool,HasGarden,Furnishing,SalePrice
10219,Delhi,Apartment,2,1,0,2.0,382.0,721,865,5227.0,1973,Poor,11.79,0,1,Fully Furnished,14578454
1945,Pune,Studio,3,2,0,2.0,,951,369,,2017,,11.71,0,0,Fully Furnished,12279195
5251,Delhi,Independent House,3,2,0,0.0,401.0,834,553,6077.0,1989,Fair,17.71,0,0,Fully Furnished,24416568
4949,Chennai,Independent House,6,1,2,1.0,399.0,801,108,0.0,2000,Good,14.25,0,1,Semi-Furnished,19271942
4070,Chennai,Apartment,2,4,1,0.0,565.0,906,0,6118.0,1961,Good,10.89,0,1,Unfurnished,12589925
8716,Bangalore,Independent House,5,1,1,,480.0,1571,161,3708.0,1999,Good,10.38,1,1,Fully Furnished,39667590
11977,Delhi,Villa,2,2,1,3.0,,1081,566,5394.0,1989,Good,16.1,0,1,Fully Furnished,37852832
5229,Bangalore,Villa,1,3,0,2.0,637.0,506,665,4246.0,2019,,21.65,1,0,Fully Furnished,24063313
8684,Pune,Apartment,3,4,0,2.0,482.0,772,981,5916.0,1961,Excellent,5.63,0,1,Unfurnished,27311346
14909,Hyderabad,Villa,4,3,1,3.0,430.0,1031,221,3836.0,1997,Excellent,15.84,0,1,,36245834
12666,Mumbai,Villa,4,4,0,3.0,931.0,1330,508,6637.0,2004,Excellent,6.11,0,1,Semi-Furnished,94814732
8525,Pune,Apartment,4,4,1,0.0,554.0,1014,631,3331.0,1996,Excellent,17.15,0,1,Unfurnished,25920368
13044,Pune,Studio,1,2,2,1.0,68.0,1003,364,,1990,Good,8.38,1,1,Semi-Furnished,12977353
1255,Chennai,Independent House,2,2,2,0.0,119.0,1244,527,6927.0,1967,Good,10.09,0,1,Semi-Furnished,24050073
13174,Chennai,Villa,6,3,1,3.0,425.0,253,502,5708.0,2006,Good,13.42,0,1,Semi-Furnished,22647519
252,Mumbai,Studio,2,3,0,1.0,195.0,225,515,4370.0,1982,Excellent,6.9,0,0,Fully Furnished,15578450
388,Bangalore,Studio,2,4,1,1.0,452.0,1017,417,5020.0,2006,Good,17.6,0,0,Semi-Furnished,15834574
10773,Bangalore,Studio,3,4,1,0.0,429.0,519,146,6882.0,1989,Good,11.95,1,0,Fully Furnished,12392637
9538,Mumbai,Independent House,1,1,1,0.0,420.0,1165,706,5328.0,1977,Fair,9.09,0,0,Semi-Furnished,38447013
8425,Delhi,Studio,5,3,2,1.0,449.0,794,767,6611.0,1977,Good,4.82,1,1,Unfurnished,16468777
3942,Pune,Studio,3,4,2,,456.0,1265,317,6054.0,1988,Excellent,11.42,0,1,Fully Furnished,16660912
2127,Hyderabad,Villa,5,1,1,1.0,730.0,602,480,4943.0,1975,Fair,5.97,0,1,Fully Furnished,24283433
89,Hyderabad,Villa,6,4,0,0.0,303.0,915,499,1215.0,1966,Good,10.93,0,1,Semi-Furnished,31192415
1689,Pune,Villa,2,1,2,0.0,103.0,1199,185,5427.0,1988,Poor,13.76,0,1,Unfurnished,16396416
11880,Bangalore,Apartment,2,4,2,,430.0,582,240,6885.0,1997,Poor,14.03,1,1,Fully Furnished,11097411
5175,Hyderabad,Apartment,2,3,0,3.0,430.0,1213,161,5455.0,2020,,14.1,0,1,Semi-Furnished,14702379
11072,Mumbai,Independent House,1,4,1,1.0,,817,657,,1994,Poor,2.8,0,0,Fully Furnished,26185955
3509,Chennai,Studio,3,3,1,1.0,324.0,1180,733,3267.0,1992,Good,5.31,0,1,Semi-Furnished,14548528
2272,Bangalore,Studio,3,3,1,2.0,522.0,1118,702,5593.0,1977,Excellent,12.59,0,1,Unfurnished,24301781
13077,Hyderabad,Apartment,1,1,0,2.0,526.0,825,378,4810.0,1961,Excellent,7.51,0,0,Semi-Furnished,17285939
7718,Delhi,Apartment,1,4,1,3.0,363.0,1759,748,1964.0,2012,Poor,23.71,0,0,Semi-Furnished,18390264
6858,Hyderabad,Independent House,4,4,2,2.0,522.0,982,210,3972.0,2006,Excellent,20.29,0,1,Unfurnished,31016945
9296,Chennai,Villa,2,3,1,3.0,691.0,579,446,8371.0,2002,Good,9.62,0,0,Unfurnished,28859876
11651,Delhi,Villa,6,4,2,2.0,181.0,633,280,6360.0,1977,Good,3.12,0,1,Unfurnished,28856971
2345,Delhi,Studio,1,3,0,3.0,777.0,1244,347,5915.0,2005,Good,17.12,0,1,Semi-Furnished,18084835
12130,Bangalore,Independent House,2,4,2,0.0,,585,792,2107.0,1963,Fair,3.59,0,1,Unfurnished,21985743
1321,Chennai,Studio,4,4,1,0.0,232.0,1483,751,2987.0,1974,Poor,9.87,0,1,Fully Furnished,10002196
4345,Delhi,Apartment,3,1,0,0.0,338.0,956,249,2942.0,2008,Excellent,11.28,0,1,Fully Furnished,22367456
10811,Delhi,Independent House,2,4,0,1.0,380.0,961,670,4569.0,1983,Fair,13.87,0,0,Unfurnished,25425473
6422,Hyderabad,Studio,3,4,2,2.0,203.0,818,419,1168.0,2010,Fair,9.52,1,1,Fully Furnished,10265496
13149,Mumbai,Apartment,6,3,0,2.0,585.0,703,520,,2003,Fair,3.88,1,0,Semi-Furnished,28607484
12552,Hyderabad,Studio,2,3,2,3.0,544.0,859,600,,2000,Excellent,8.48,0,0,Unfurnished,16760024
543,Bangalore,Studio,5,4,0,,354.0,1171,722,5171.0,1984,Good,5.8,0,1,Semi-Furnished,20700958
12836,Delhi,Villa,4,1,2,3.0,204.0,898,861,4566.0,2019,Good,10.08,0,0,Unfurnished,39067698
4275,Delhi,Apartment,6,2,2,0.0,344.0,776,146,1622.0,1989,Good,11.35,0,0,Fully Furnished,16057839
2361,Hyderabad,Apartment,2,3,0,1.0,518.0,609,254,8352.0,1988,Excellent,16.16,0,1,Unfurnished,15824628
5849,Pune,Villa,5,4,1,,334.0,933,533,3101.0,2011,Fair,6.75,0,0,Semi-Furnished,30514292
5310,Delhi,Apartment,3,3,2,1.0,128.0,948,777,4990.0,1976,,12.39,0,1,Fully Furnished,24224493
4605,Delhi,Studio,1,2,1,1.0,367.0,724,239,4452.0,1979,,7.96,0,1,Fully Furnished,10708405
1963,Mumbai,Studio,1,4,1,1.0,333.0,944,531,6793.0,2025,Excellent,13.59,0,1,Fully Furnished,25444921
12273,Bangalore,Independent House,1,1,0,,138.0,649,594,5883.0,1996,Excellent,6.33,0,1,Fully Furnished,29741586
1890,Chennai,Villa,2,2,1,3.0,667.0,827,720,7087.0,2009,Fair,8.65,0,0,Unfurnished,26248577
5126,Mumbai,Studio,3,4,0,3.0,333.0,702,466,7643.0,1960,Good,5.75,0,0,Fully Furnished,15705235
3315,Delhi,Independent House,2,1,0,,741.0,869,385,6123.0,2025,Good,16.51,0,0,Fully Furnished,30809459
1200,Delhi,Studio,2,3,1,2.0,436.0,766,923,6142.0,1966,Poor,13.45,1,1,Unfurnished,10971336
10215,Mumbai,Studio,5,1,1,2.0,478.0,366,551,0.0,1991,Poor,7.83,0,0,Semi-Furnished,11076023
9600,Chennai,Villa,6,1,1,0.0,546.0,1238,566,4576.0,1982,Excellent,15.39,0,0,Unfurnished,43687448
5146,Chennai,Studio,4,1,1,1.0,116.0,940,490,4262.0,1977,Good,5.06,0,0,Fully Furnished,10486967
3026,Pune,Apartment,5,4,2,1.0,496.0,857,1069,5268.0,2013,Good,9.67,0,1,Fully Furnished,26167549
13737,Chennai,Villa,6,3,0,2.0,401.0,516,715,2375.0,1971,Good,14.79,0,0,Unfurnished,28666206
1531,Bangalore,Studio,6,2,2,1.0,338.0,998,369,4624.0,1990,Good,8.83,0,1,Fully Furnished,16754701
5913,Mumbai,Apartment,3,4,2,1.0,172.0,891,429,6198.0,2000,Good,8.2,0,1,Unfurnished,25096704
1744,Hyderabad,Independent House,6,1,2,,278.0,1137,277,1420.0,1961,Excellent,9.22,0,1,Semi-Furnished,30720709
7066,Delhi,Apartment,3,1,0,0.0,,875,395,6303.0,2020,Good,13.64,0,0,Semi-Furnished,19041094
5894,Hyderabad,Studio,2,1,2,0.0,638.0,783,359,,1990,Good,16.29,0,1,Semi-Furnished,10724258
14532,Pune,Independent House,3,3,0,1.0,201.0,1247,657,3213.0,1960,Fair,10.47,0,0,Fully Furnished,23804367
2586,Hyderabad,Apartment,5,1,0,3.0,315.0,588,201,4921.0,1970,Poor,18.03,0,1,Unfurnished,8114186
14058,Hyderabad,Villa,2,3,2,0.0,472.0,1354,561,6719.0,1975,Fair,7.74,0,0,Fully Furnished,29278716
14270,Pune,Studio,4,2,1,3.0,440.0,837,375,4976.0,1969,Good,17.51,0,1,Fully Furnished,13840637
10771,Bangalore,Independent House,1,4,0,2.0,320.0,981,608,4337.0,2009,Fair,17.47,0,1,Unfurnished,26985421
252,Mumbai,Studio,2,3,0,1.0,195.0,225,515,4370.0,1982,Excellent,6.9,0,0,Fully Furnished,15578450
13086,Pune,Apartment,3,2,2,1.0,,624,849,3806.0,1986,Fair,20.61,0,1,Semi-Furnished,12356735
11389,Bangalore,Independent House,1,3,1,2.0,592.0,544,361,,2022,Excellent,10.46,1,0,Semi-Furnished,33944048
8117,Hyderabad,Independent House,2,4,1,2.0,119.0,704,1004,2674.0,2009,Poor,7.53,0,0,Semi-Furnished,17025431
4547,Delhi,Apartment,2,1,0,2.0,792.0,1013,685,4909.0,1973,Fair,6.98,0,1,Unfurnished,20276304
2520,Mumbai,Villa,1,2,0,,,778,298,3803.0,2018,Good,3.6,0,1,Semi-Furnished,44130268
2358,Mumbai,Apartment,2,2,1,2.0,59.0,587,3,4960.0,1980,,9.92,0,1,Unfurnished,12267787
3223,Hyderabad,Apartment,3,3,2,0.0,819.0,1171,261,10136.0,1995,Poor,14.54,0,1,Fully Furnished,14218506
5362,Delhi,Studio,2,2,0,3.0,369.0,902,618,4898.0,1980,,5.02,0,1,Semi-Furnished,18463263
11718,Hyderabad,Studio,4,1,0,1.0,,1314,508,5160.0,1996,Good,16.68,0,1,Unfurnished,12440045
1494,Pune,Independent House,3,1,0,3.0,,957,481,6369.0,1997,Excellent,6.74,1,1,Unfurnished,32265765
3121,Bangalore,Villa,6,1,1,3.0,503.0,1246,144,4961.0,1963,Good,12.06,0,1,Fully Furnished,42106956
14615,Hyderabad,Studio,2,4,0,,,1673,615,6141.0,1963,Good,10.5,0,0,Semi-Furnished,15607802
14938,Pune,Apartment,2,1,0,3.0,287.0,397,689,5359.0,2014,Fair,1.71,1,1,Unfurnished,14913082
13221,Hyderabad,Independent House,3,1,1,1.0,218.0,1135,271,3401.0,2021,Excellent,9.24,0,1,Semi-Furnished,30142925
10167,Bangalore,Villa,1,4,1,1.0,536.0,1467,623,3666.0,1975,Good,23.71,0,1,Fully Furnished,52028104
4295,Delhi,Studio,1,1,2,2.0,446.0,857,353,,1984,Excellent,10.51,0,0,Fully Furnished,16051280
6378,Mumbai,Studio,6,4,1,1.0,372.0,1023,48,5063.0,1983,Poor,6.9,0,1,Semi-Furnished,11387680
6806,Mumbai,Studio,3,4,2,3.0,402.0,754,223,4231.0,1997,Good,4.66,0,1,Fully Furnished,18436644
13245,Mumbai,Independent House,4,4,2,0.0,140.0,909,379,3904.0,1968,Poor,7.67,0,1,Fully Furnished,22123476
7442,Mumbai,Independent House,6,4,2,1.0,350.0,556,277,,1961,Excellent,13.32,0,1,Semi-Furnished,38975201
5328,Delhi,Apartment,5,1,1,1.0,104.0,288,961,4027.0,1987,Good,10.98,1,0,Semi-Furnished,15981658
3746,Chennai,Apartment,4,2,0,3.0,500.0,1063,369,4798.0,2012,Excellent,12.57,0,0,Fully Furnished,22372270
11200,Chennai,Apartment,3,3,1,0.0,446.0,1224,69,3352.0,2004,Fair,22.35,0,1,,13881007
11447,Pune,Villa,1,1,0,1.0,334.0,1794,325,5628.0,1995,,9.93,0,1,Unfurnished,47467295
1394,Hyderabad,Apartment,2,3,0,3.0,437.0,798,705,5841.0,1970,Excellent,11.65,0,1,Semi-Furnished,20349564
1804,Mumbai,Studio,1,3,0,0.0,426.0,509,262,2594.0,1970,Poor,8.25,0,1,Unfurnished,7375771
14922,Mumbai,Independent House,2,4,2,2.0,487.0,1093,361,5071.0,1980,Good,7.52,0,0,Fully Furnished,45358959
2944,Chennai,Villa,1,4,1,2.0,358.0,960,426,6925.0,1998,Good,14.18,0,0,Fully Furnished,24461510
863,Hyderabad,Independent House,2,2,0,,68.0,1225,565,4249.0,1960,Poor,6.42,0,1,Semi-Furnished,17722388
7607,Chennai,Studio,1,3,2,1.0,621.0,770,317,,2002,,8.89,0,0,Semi-Furnished,10170585
10414,Bangalore,Independent House,2,1,1,2.0,535.0,942,354,5938.0,1962,Good,1.56,0,1,Semi-Furnished,29388984
6694,Delhi,Villa,1,4,1,1.0,,961,359,5040.0,1986,Poor,20.31,0,0,Semi-Furnished,19012102
5770,Chennai,Independent House,6,3,2,0.0,417.0,804,238,4569.0,1984,Good,6.93,0,0,Unfurnished,19965056
14189,Hyderabad,Villa,5,3,0,0.0,502.0,1214,322,3066.0,1970,Excellent,11.36,0,0,Unfurnished,40923531
3060,Pune,Independent House,2,3,0,0.0,487.0,826,389,7954.0,2013,Fair,14.88,0,1,Semi-Furnished,22353676
2560,Hyderabad,Villa,1,1,1,1.0,253.0,863,115,5231.0,2001,Fair,15.15,0,1,Fully Furnished,17439821
915,Pune,Villa,5,3,0,0.0,531.0,688,673,9339.0,1960,Good,5.01,0,0,Unfurnished,34288193
8230,Mumbai,Studio,5,1,2,0.0,107.0,733,463,805.0,1984,Good,4.9,0,1,Semi-Furnished,16777249
931,Mumbai,Studio,1,2,0,0.0,276.0,1244,628,1674.0,1990,Excellent,15.94,0,1,Fully Furnished,26221330
11509,Bangalore,Villa,1,4,0,1.0,492.0,785,121,5446.0,1999,Good,4.68,1,1,,31638647
3951,Pune,Independent House,5,1,0,,220.0,1276,750,5953.0,1976,Good,7.53,1,1,Semi-Furnished,34569705
3112,Delhi,Studio,1,2,1,0.0,507.0,903,601,,2002,Fair,13.59,1,1,Unfurnished,14565999
7837,Delhi,Villa,5,1,1,2.0,,1021,46,5383.0,2009,Excellent,10.57,0,1,Unfurnished,32673958
9897,Pune,Villa,3,2,2,2.0,363.0,513,535,2191.0,1992,Good,9.15,0,1,,25292584
7887,Hyderabad,Studio,3,3,1,0.0,,224,458,5918.0,1991,Good,3.78,0,1,Unfurnished,7504378
11226,Chennai,Studio,3,2,2,1.0,319.0,1026,993,5598.0,1973,Good,8.03,0,0,Fully Furnished,11518751
6736,Delhi,Apartment,1,4,1,3.0,,998,518,7179.0,2009,Fair,7.11,0,1,Semi-Furnished,20855951
9613,Hyderabad,Villa,6,1,1,2.0,293.0,1053,434,9146.0,1964,Fair,18.7,0,0,Fully Furnished,25217506
10958,Hyderabad,Apartment,6,2,0,1.0,,1030,472,8389.0,2003,Good,24.93,0,0,Semi-Furnished,18779977
10496,Bangalore,Villa,2,2,1,0.0,949.0,634,433,6292.0,2025,Fair,6.42,0,1,Fully Furnished,33948937
6957,Chennai,Independent House,4,3,2,3.0,367.0,1203,551,6646.0,1967,Good,1.21,0,1,Unfurnished,28351109
9813,Mumbai,Studio,4,1,1,1.0,,600,593,5009.0,1966,Good,9.93,0,0,Semi-Furnished,16414930
13914,Mumbai,Villa,4,1,0,3.0,85.0,399,543,5923.0,1989,Good,4.17,1,0,Unfurnished,35314561
3488,Bangalore,Apartment,2,3,0,1.0,355.0,1020,370,2626.0,1971,Good,13.63,0,1,Semi-Furnished,19917373
7600,Mumbai,Studio,1,2,1,,616.0,1338,444,2681.0,1981,Excellent,14.43,0,1,Unfurnished,26918040
6418,Mumbai,Apartment,3,3,2,1.0,515.0,904,486,8369.0,1966,Good,17.76,1,0,,29097525
9038,Mumbai,Studio,2,3,1,,194.0,1329,516,5364.0,2019,Excellent,14.26,0,0,Semi-Furnished,25873844
12781,Chennai,Independent House,1,3,2,0.0,349.0,1428,589,757.0,2020,Fair,10.01,0,1,Fully Furnished,24235341
6506,Bangalore,Independent House,4,3,2,2.0,130.0,750,378,,2020,Good,15.37,1,0,Fully Furnished,27372530
13386,Pune,Villa,5,3,2,0.0,467.0,1181,666,6881.0,2004,Excellent,4.35,0,1,Fully Furnished,50882386
12481,Delhi,Studio,4,4,0,3.0,579.0,1109,630,,1992,,0.09,0,0,Fully Furnished,18453389
2268,Mumbai,Studio,4,4,2,3.0,695.0,1118,522,,1993,,11.83,0,1,Unfurnished,32413495
10076,Bangalore,Apartment,1,2,2,1.0,383.0,332,301,6694.0,1987,Excellent,14.95,0,1,Fully Furnished,12813720
3468,Bangalore,Independent House,1,3,0,0.0,409.0,1057,550,5689.0,1982,Fair,14.1,0,0,Fully Furnished,26856254
8970,Mumbai,Apartment,5,1,2,2.0,464.0,1257,420,5912.0,2025,Excellent,11.66,0,0,Fully Furnished,41924789
11257,Hyderabad,Studio,6,4,2,2.0,383.0,825,861,10024.0,2018,Fair,5.55,0,1,Semi-Furnished,13920507
4090,Mumbai,Independent House,1,1,2,2.0,308.0,644,769,1545.0,2000,,17.67,0,1,Semi-Furnished,44100287
12639,Pune,Villa,3,4,2,3.0,614.0,1017,293,7061.0,1963,Good,17.45,0,1,Unfurnished,34656691
2705,Hyderabad,Villa,2,1,2,1.0,541.0,1325,286,,1970,Good,10.95,0,1,Fully Furnished,33577750
12843,Pune,Studio,1,4,1,1.0,306.0,842,366,6495.0,1968,Excellent,13.82,0,1,Unfurnished,12823428
736,Hyderabad,Studio,6,3,1,3.0,555.0,555,382,5461.0,1965,Fair,8.71,0,1,Semi-Furnished,9811154
4415,Pune,Independent House,6,1,0,1.0,640.0,890,333,3961.0,1996,Good,15.39,0,0,Fully Furnished,29366129
8674,Hyderabad,Villa,1,2,2,,471.0,543,705,104.0,1970,Excellent,12.51,0,1,Unfurnished,34225748
3729,Hyderabad,Apartment,1,4,2,0.0,286.0,714,437,7371.0,1962,Poor,8.0,0,1,Unfurnished,9923391
7672,Chennai,Independent House,2,3,2,3.0,841.0,497,458,4726.0,2007,Excellent,5.59,0,1,Unfurnished,30395133
5641,Chennai,Studio,5,2,1,2.0,351.0,1015,45,4639.0,2001,Good,5.42,0,1,Unfurnished,11647311
10681,Bangalore,Studio,5,1,0,0.0,,665,648,7059.0,1962,Poor,4.98,0,1,Fully Furnished,10276144
4882,Pune,Villa,1,2,1,0.0,231.0,1010,446,5130.0,1973,,18.08,0,1,Semi-Furnished,34542902
4376,Hyderabad,Apartment,6,1,0,3.0,,437,216,3700.0,1991,Good,8.96,0,0,Fully Furnished,11388752
10664,Bangalore,Apartment,4,4,2,1.0,585.0,1554,30,,2010,,3.0,0,1,Semi-Furnished,26867774
14614,Delhi,Apartment,1,4,1,2.0,324.0,770,536,7396.0,2021,Good,4.38,0,0,Fully Furnished,20128714
11209,Pune,Independent House,4,3,1,0.0,381.0,1277,888,,1977,Good,15.03,0,1,,35201139
8424,Pune,Villa,2,2,1,1.0,215.0,1068,684,2537.0,1960,Good,4.03,0,0,,32732957
12510,Hyderabad,Independent House,1,2,1,2.0,557.0,840,302,6731.0,1970,Excellent,14.42,0,1,Unfurnished,27360082
6426,Hyderabad,Apartment,1,4,0,1.0,,1127,723,3279.0,1961,Excellent,18.1,1,1,Fully Furnished,28077158
3405,Pune,Apartment,2,1,2,1.0,282.0,974,36,2767.0,2011,,3.96,0,0,Fully Furnished,11188672
6836,Chennai,Apartment,2,3,2,3.0,,799,613,5288.0,2011,Excellent,10.19,0,0,Semi-Furnished,22848114
8223,Mumbai,Apartment,6,3,0,,179.0,1016,228,2351.0,2025,Good,13.67,0,1,Unfurnished,26536809
14989,Hyderabad,Villa,5,3,0,,264.0,725,428,5073.0,1974,Excellent,8.43,0,1,Fully Furnished,32874769
7739,Bangalore,Villa,3,1,2,0.0,604.0,1129,774,2137.0,2017,Fair,11.88,1,1,Unfurnished,42668426
9685,Mumbai,Villa,6,2,1,1.0,542.0,386,435,4010.0,1985,Good,14.34,0,0,Unfurnished,42079135
12492,Chennai,Apartment,1,2,2,3.0,447.0,640,38,4940.0,1970,Excellent,9.52,0,1,Unfurnished,12057993
1454,Chennai,Independent House,3,4,2,0.0,,987,581,,2021,Fair,6.33,0,1,Unfurnished,23853722
11409,Delhi,Apartment,3,2,1,1.0,206.0,576,719,6494.0,2025,Poor,9.94,0,0,Fully Furnished,12876239
11593,Chennai,Apartment,1,1,1,3.0,611.0,1329,311,6147.0,2007,Fair,10.23,0,0,Unfurnished,15473657
3284,Bangalore,Studio,5,4,2,1.0,642.0,687,263,3711.0,1991,Good,12.96,0,1,Semi-Furnished,15505787
3209,Chennai,Apartment,4,2,2,2.0,300.0,1270,612,2990.0,1986,,15.0,0,1,Fully Furnished,19061482
4247,Delhi,Apartment,1,2,1,1.0,276.0,1028,38,3707.0,2021,Good,15.78,0,1,Fully Furnished,16905591
3478,Mumbai,Studio,2,3,0,1.0,490.0,743,531,5827.0,2018,Good,12.12,0,1,Fully Furnished,19979433
5287,Mumbai,Apartment,3,1,0,3.0,335.0,1131,161,5357.0,1991,Good,9.47,0,1,Fully Furnished,25949328
1087,Hyderabad,Villa,1,2,1,3.0,203.0,808,308,4970.0,1986,,1.25,0,0,Semi-Furnished,22096941
11523,Chennai,Studio,6,2,2,0.0,188.0,1222,133,,1969,Poor,14.74,1,1,Fully Furnished,7508937
5218,Delhi,Independent House,3,1,2,2.0,521.0,520,613,,1975,Fair,14.68,0,1,,21434284
10134,Chennai,Independent House,5,2,0,1.0,,1496,693,3275.0,1996,Fair,5.24,0,0,Fully Furnished,27536824
